id,problem,method,dataset,metrics,findings,advantages,limits,future
P22,Knowledge-grounded dialogue systems frequently state facts not present in the retrieved knowledge.,"Compare retrieval-augmented dialogue architectures and knowledge-conditioning strategies against parametric baselines, with human evaluation of factual consistency.","Wizard of Wikipedia, CMU DoG and related knowledge-grounded dialogue corpora.","Human-judged factual consistency, knowledge F1, perplexity.","Retrieval augmentation substantially reduces hallucinated statements in conversation relative to parametric models, while maintaining conversational quality.",Among the first direct empirical demonstrations that retrieval reduces hallucination rather than merely improving accuracy.,"Confined to dialogue; reduction is partial, and the system still hallucinates when retrieval returns weak evidence.",Grounding verification and handling retrieval failure explicitly.
P23,Standard RAG retrieves a fixed number of passages regardless of need and never checks whether the output is actually supported.,"Train the LM to emit reflection tokens that decide when to retrieve, and to critique relevance of retrieved passages and support for its own generations; segment-level selection at inference.","PopQA, TriviaQA, PubHealth, ARC-Challenge, ASQA, biography generation.","Accuracy, FActScore, citation precision and recall.",Self-reflective retrieval and self-critique outperform both standard RAG and much larger instruction-tuned baselines on factuality and citation accuracy.,Unifies adaptive retrieval and self-verification in one trained model; controllable at inference.,"Requires training a specialised model with reflection-token supervision, so it does not apply to closed APIs; critique is itself model-generated and fallible.",Transferring reflective behaviour to black-box models via prompting.
P24,"RAG degrades badly when the retriever returns irrelevant documents, and standard pipelines have no recovery path.","Lightweight retrieval evaluator scores document relevance and triggers one of three actions - correct, incorrect or ambiguous - with web search as a fallback and decompose-then-recompose filtering of retrieved text.","PopQA, Biography, PubHealth, Arc-Challenge.","Accuracy, FActScore.",Explicitly assessing retrieval quality and correcting or replacing poor retrievals improves robustness substantially and is plug-and-play over existing RAG stacks.,"Model-agnostic; directly targets retrieval failure, the dominant RAG error source; no generator retraining.","Adds an evaluator and possible web calls, increasing latency and cost; evaluator errors cascade; web fallback introduces an uncontrolled source.",Cheaper relevance estimation and principled fallback source selection.
P25,"Retrieving once at the start is insufficient for long-form generation, where information needs arise as text is produced.","FLARE: anticipate the upcoming sentence, and if it contains low-confidence tokens, use it as a query to retrieve before generating that sentence.","Multi-hop QA, commonsense reasoning, long-form QA and open-domain summarisation (2WikiMultihopQA, StrategyQA, ASQA, WikiAsp).","Exact Match, F1, ROUGE, citation quality.",Actively deciding when and what to retrieve during generation outperforms single-shot and fixed-interval retrieval on long-form knowledge-intensive tasks.,"Uses generation confidence as the retrieval trigger, so retrieval happens where the model is actually uncertain.",Repeated retrieval raises latency; token probability is an imperfect proxy for factual uncertainty and needs likelihood access.,Better uncertainty signals and cost-aware retrieval scheduling.
P26,"Multi-step questions need evidence that only becomes identifiable after partial reasoning, which one-shot retrieval cannot supply.","IRCoT interleaves chain-of-thought reasoning with retrieval, using each generated reasoning step as the query for the next retrieval round.","HotpotQA, 2WikiMultihopQA, MuSiQue, IIRC.","Retrieval recall, answer Exact Match and F1.",Interleaving retrieval with reasoning markedly improves both retrieval recall and answer accuracy on multi-hop questions relative to one-shot retrieval.,"Simple, needs no training, and generalises across model sizes; a strong multi-hop baseline.",Multiple retrieval and generation rounds are expensive; an early reasoning error steers all subsequent retrieval wrongly.,Error recovery within the reasoning-retrieval loop and adaptive step budgets.
P27,Models assert unsupported facts confidently and do not check their own claims before answering.,"Chain-of-Verification: draft a response, plan verification questions, answer each independently to avoid conditioning on the draft, then revise the response.","Wikidata list questions, QUEST, MultiSpanQA, longform biography generation.","Precision of listed facts, FActScore-style factuality.","Deliberate self-verification with independently answered verification questions reduces hallucination substantially, and independence from the draft is essential to the gain.","Prompt-level only, so it works on closed models with no training or retrieval infrastructure.","Several extra generation passes multiply cost; verification uses the same parametric knowledge, so shared misconceptions survive.",Combining verification questions with retrieval so checks consult external evidence.
P28,Editing a generated text for factuality while preserving its content requires attribution to real evidence.,"RARR: research the generated text by issuing queries, retrieve evidence, then revise the output minimally to agree with the evidence while preserving the original intent.","Outputs over Natural Questions, StrategyQA and QReCC.",Attribution (AIS-style) and preservation of the original output.,"Post-hoc research-and-revise improves attribution substantially with limited change to the original text, and can be applied to any generator's output.",Fully post-hoc and model-agnostic; explicitly balances factuality against preservation.,"Cannot fix a fundamentally wrong output, only locally repair it; dependent on retrieval quality; adds a full extra pipeline.",Deciding when revision is insufficient and regeneration is required.
P29,"Standard RAG retrieves local text chunks and therefore cannot answer global, corpus-level questions such as 'what are the main themes'.","Build an entity knowledge graph from the corpus with an LLM, detect hierarchical communities, pre-generate community summaries, and answer global queries by map-reduce over those summaries.",Podcast transcripts and news article corpora; global sensemaking question sets.,"LLM-judged comprehensiveness, diversity and empowerment; token cost.","Graph-structured indexing answers corpus-level questions that chunk-based RAG cannot address, with large gains in comprehensiveness and diversity of answers.",Extends RAG from local lookup to global sensemaking; hierarchical summaries support multiple query granularities.,Index construction is expensive in LLM calls; evaluation relies on LLM judges rather than ground truth; graph extraction errors propagate into every downstream answer.,Cheaper graph construction and objective evaluation of global query answering.
P30,"RAG pipelines have separately failing retrieval and generation stages, but are usually evaluated only end-to-end and with human labels.","Reference-free framework computing faithfulness, answer relevance and context relevance using LLM-based judging of decomposed statements.",WikiEval and standard RAG evaluation settings.,"Faithfulness, answer relevance, context relevance; agreement with human annotators.",Component-wise reference-free evaluation correlates well with human judgement and isolates whether a failure originated in retrieval or generation.,"No gold answers required, so it can run continuously in production; widely adopted as the RAGAS library.","Uses an LLM as judge, inheriting that model's biases and cost; metric stability across judge models is not guaranteed.",Judge-independent metrics and validation across domains.
P31,It is unclear which specific abilities RAG demands of an LLM and where the paradigm breaks.,"Retrieval-Augmented Generation Benchmark (RGB) isolating four abilities - noise robustness, negative rejection, information integration and counterfactual robustness.","RGB, constructed from news with controlled noise and counterfactual injection, in English and Chinese.","Accuracy, rejection rate, error detection rate.","Even strong LLMs degrade sharply with retrieval noise, rarely reject unanswerable queries, and frequently follow retrieved evidence that contradicts their correct parametric knowledge.",Diagnostic rather than aggregate; the four-ability decomposition is directly actionable for system design.,Constructed rather than naturally occurring noise; snapshot of models at time of writing.,Training explicitly for rejection and counterfactual robustness.
P32,Hallucination detection for RAG lacked a large word-level annotated corpus of genuinely retrieval-augmented outputs.,"Corpus of nearly 18,000 naturally generated RAG responses with word-level hallucination annotation across QA, data-to-text and summarisation, plus a trained detector.","RAGTruth, built over Natural Questions, MARCO, Yelp and CNN/Daily Mail sources.","Span-level and response-level hallucination detection precision, recall and F1.","A detector fine-tuned on RAGTruth rivals prompt-based detection with much stronger models, and hallucination persists in RAG output even when relevant evidence is retrieved.",The key supervised resource for RAG hallucination; word-level granularity; naturally occurring rather than induced errors.,Restricted to the tasks and generator models sampled; annotation of partial support is inherently subjective.,Broader task and language coverage; detectors that generalise across generators.
P33,Mitigation techniques for retrieval-augmented LLMs are scattered and not organised by where in the pipeline they act.,Structured review decomposing RAG into retrieval-phase and generation-phase sub-tasks and mapping hallucination causes and mitigations onto each.,Review of the RAG hallucination literature.,Surveys the evaluation metrics used across the reviewed work.,"Hallucination causes are separable by pipeline stage - data source, query formulation, retriever and ranking on one side; grounding and decoding on the other - and mitigation should be matched to stage.","Directly organised around the RAG pipeline, which makes it practically usable; recent peer-reviewed journal synthesis.",Survey without unified empirical comparison; coverage of agentic RAG is limited.,Stage-aware benchmarks and combined multi-stage mitigation.
P34,"Which RAG variant should actually be deployed in a safety-critical setting, and at what latency and hallucination cost.","Controlled comparison of twelve RAG variants - dense, sparse, hybrid, graph-based, multimodal, self-reflective, adaptive and security-focused - on clinical vignettes, with on-premises deployment analysis.",250 de-identified patient vignettes with clinical reference material.,"Precision@5, MRR, nDCG@10, hallucination rate, latency.","Hybrid dense-sparse retrieval with cross-encoder reranking gave the best retrieval accuracy, while self-reflective RAG achieved the lowest hallucination rate; sparse retrieval was fastest but least accurate.","Rare like-for-like empirical comparison of many variants under one protocol; addresses privacy and deployment, not just accuracy.",Single clinical domain and a modest vignette set; results may not transfer to open-domain use.,Cross-domain replication of the comparison protocol.
P35,Whether laboratory hallucination-mitigation results hold up in real industrial deployments.,"Applied study of hallucination mitigation across three distinct industrial use cases, reporting the techniques used and the operational outcomes.",Proprietary industrial datasets from the three deployment settings.,Task-specific accuracy and hallucination rates reported per use case.,"Mitigation techniques transfer to industry but require domain-specific tuning, and residual hallucination remains material enough to require human oversight in production.",Deployment evidence rather than benchmark evidence; documents the practical gap between research and production.,Proprietary data limits reproducibility; small number of cases restricts generalisation.,Open industrial benchmarks and standardised operational reporting.
