survived,pclass,sex,age,sib_sp,parch,fare,embarked,has__cabin,deck,title,family_size,is_alone,sex_encoded,embarked__c,embarked__q,embarked__s,fare_log
0,2,male,35.0,0,0,26.0,S,0,Unknown,Mr,1,1,0,False,False,True,3.295836866004329
1,2,male,34.0,0,0,13.0,S,1,D,Mr,1,1,0,False,False,True,2.6390573296152584
1,3,female,15.0,0,0,8.0292,Q,0,Unknown,Miss,1,1,1,False,True,False,2.2004637699272855
1,1,male,28.0,0,0,35.5,S,1,A,Mr,1,1,0,False,False,True,3.597312260588446
0,3,female,8.0,3,1,21.075,S,0,Unknown,Miss,5,0,1,False,False,True,3.0944457464900235
1,3,female,38.0,1,5,31.3875,S,0,Unknown,Mrs,7,0,1,False,False,True,3.4777725458882283
0,3,male,25.0,0,0,7.225,C,0,Unknown,Mr,1,1,0,True,False,False,2.1071782966514356
0,1,male,19.0,3,2,65.6344,S,1,C,Mr,6,0,0,False,False,True,4.19922096071412
1,3,female,21.5,0,0,7.8792,Q,0,Unknown,Miss,1,1,1,False,True,False,2.1837114628556327
0,3,male,25.0,0,0,7.8958,S,0,Unknown,Mr,1,1,0,False,False,True,2.1855792552411137
0,1,male,40.0,0,0,27.7208,C,0,Unknown,Other,1,1,0,True,False,False,3.357621598945279
1,1,female,35.0,1,0,65.6344,C,1,B,Mrs,2,0,1,True,False,False,4.19922096071412
1,3,female,21.5,0,0,7.75,Q,0,Unknown,Miss,1,1,1,False,True,False,2.169053700369523
0,2,male,66.0,0,0,10.5,S,0,Unknown,Mr,1,1,0,False,False,True,2.4423470353692043
0,1,male,28.0,1,0,65.6344,C,0,Unknown,Mr,2,0,0,True,False,False,4.19922096071412
0,1,male,42.0,1,0,52.0,S,0,Unknown,Mr,2,0,0,False,False,True,3.970291913552122
1,3,male,25.0,0,0,7.2292,C,0,Unknown,Mr,1,1,0,True,False,False,2.1076888046179385
0,3,male,21.0,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
0,3,female,18.0,2,0,18.0,S,0,Unknown,Miss,3,0,1,False,False,True,2.9444389791664403
1,3,female,14.0,1,0,11.2417,C,0,Unknown,Miss,2,0,1,True,False,False,2.5048481563289
0,3,female,40.0,1,0,9.475,S,0,Unknown,Mrs,2,0,1,False,False,True,2.348991465808201
0,2,female,27.0,1,0,21.0,S,0,Unknown,Mrs,2,0,1,False,False,True,3.091042453358316
0,3,male,25.0,0,0,7.8958,C,0,Unknown,Mr,1,1,0,True,False,False,2.1855792552411137
1,2,female,3.0,1,2,41.5792,C,0,Unknown,Miss,4,0,1,True,False,False,3.7513658711253766
1,3,female,19.0,0,0,7.8792,Q,0,Unknown,Miss,1,1,1,False,True,False,2.1837114628556327
0,3,male,25.0,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
0,3,male,25.0,1,0,15.5,Q,0,Unknown,Mr,2,0,0,False,True,False,2.803360380906535
1,3,female,21.5,0,0,7.75,Q,0,Unknown,Miss,1,1,1,False,True,False,2.169053700369523
0,3,male,25.0,2,0,21.6792,C,0,Unknown,Mr,3,0,0,True,False,False,3.1214482048688246
0,3,female,18.0,1,0,17.8,S,0,Unknown,Mrs,2,0,1,False,False,True,2.9338568698359038
0,3,male,7.0,4,1,39.6875,S,0,Unknown,Master,6,0,0,False,False,True,3.705920919968788
0,3,male,21.0,0,0,7.8,S,0,Unknown,Mr,1,1,0,False,False,True,2.174751721484161
1,1,female,49.0,1,0,65.6344,C,1,D,Mrs,2,0,1,True,False,False,4.19922096071412
1,2,female,29.0,1,0,26.0,S,0,Unknown,Mrs,2,0,1,False,False,True,3.295836866004329
0,1,male,65.0,0,1,61.9792,C,1,B,Mr,2,0,0,True,False,False,4.142804513146981
1,1,male,40.0,0,0,35.5,S,1,C,Mr,1,1,0,False,False,True,3.597312260588446
1,2,female,21.0,0,0,10.5,S,0,Unknown,Miss,1,1,1,False,False,True,2.4423470353692043
0,3,male,28.5,0,0,7.2292,C,0,Unknown,Mr,1,1,0,True,False,False,2.1076888046179385
1,2,female,5.0,1,2,27.75,S,0,Unknown,Miss,4,0,1,False,False,True,3.3586377672433594
0,3,male,11.0,5,2,46.9,S,0,Unknown,Master,8,0,0,False,False,True,3.8691155044168695
0,3,male,22.0,0,0,7.2292,C,0,Unknown,Mr,1,1,0,True,False,False,2.1076888046179385
1,1,female,38.0,0,0,65.6344,S,1,B,Miss,1,1,1,False,False,True,4.19922096071412
0,1,male,45.0,1,0,65.6344,S,1,C,Mr,2,0,0,False,False,True,4.19922096071412
0,3,male,4.0,3,2,27.9,S,0,Unknown,Master,6,0,0,False,False,True,3.3638415951183864
0,1,male,40.0,0,0,27.7208,C,0,Unknown,Mr,1,1,0,True,False,False,3.357621598945279
1,3,male,25.0,1,1,15.2458,C,0,Unknown,Master,3,0,0,True,False,False,2.7878344138303452
1,2,female,29.0,0,0,10.5,S,1,F,Mrs,1,1,1,False,False,True,2.4423470353692043
0,3,male,19.0,0,0,8.1583,S,0,Unknown,Mr,1,1,0,False,False,True,2.2146605719425225
1,3,female,17.0,4,2,7.925,S,0,Unknown,Miss,7,0,1,False,False,True,2.188856327665703
0,3,male,26.0,2,0,8.6625,S,0,Unknown,Mr,3,0,0,False,False,True,2.2682524139135403
0,2,male,32.0,0,0,10.5,S,0,Unknown,Mr,1,1,0,False,False,True,2.4423470353692043
0,3,female,16.0,5,2,46.9,S,0,Unknown,Miss,8,0,1,False,False,True,3.8691155044168695
0,2,male,21.0,0,0,65.6344,S,0,Unknown,Mr,1,1,0,False,False,True,4.19922096071412
0,3,male,26.0,1,0,14.4542,C,0,Unknown,Mr,2,0,0,True,False,False,2.737880811060884
1,3,male,32.0,0,0,56.4958,S,0,Unknown,Mr,1,1,0,False,False,True,4.05171190165724
0,3,male,25.0,0,0,7.65,S,1,F,Mr,1,1,0,False,False,True,2.157559320943788
0,3,male,25.0,0,0,7.8958,S,0,Unknown,Mr,1,1,0,False,False,True,2.1855792552411137
0,3,male,25.0,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
1,2,male,0.83,0,2,29.0,S,0,Unknown,Master,3,0,0,False,False,True,3.4011973816621555
1,3,female,30.0,0,0,12.475,S,0,Unknown,Miss,1,1,1,False,False,True,2.600836116795061
0,3,male,22.0,0,0,9.0,S,0,Unknown,Mr,1,1,0,False,False,True,2.302585092994046
1,3,male,29.0,0,0,9.5,S,0,Unknown,Mr,1,1,0,False,False,True,2.3513752571634776
1,3,female,21.5,0,0,7.7875,Q,0,Unknown,Miss,1,1,1,False,True,False,2.1733302571367834
0,1,male,28.0,0,0,47.1,S,0,Unknown,Mr,1,1,0,False,False,True,3.8732821771117156
1,2,female,17.0,0,0,10.5,S,0,Unknown,Miss,1,1,1,False,False,True,2.4423470353692043
1,3,female,33.0,3,0,15.85,S,0,Unknown,Mrs,4,0,1,False,False,True,2.8243506567983707
0,3,male,16.0,1,3,34.375,S,0,Unknown,Mr,5,0,0,False,False,True,3.5660053559634015
0,3,male,25.0,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
1,1,female,23.0,3,2,65.6344,S,1,C,Miss,6,0,1,False,False,True,4.19922096071412
0,3,male,24.0,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
0,3,male,29.0,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
0,3,male,20.0,0,0,7.8542,S,0,Unknown,Mr,1,1,0,False,False,True,2.180891922715322
0,1,male,46.0,1,0,61.175,S,1,E,Mr,2,0,0,False,False,True,4.1299529896894684
0,3,male,26.0,1,2,20.575,S,0,Unknown,Mr,4,0,0,False,False,True,3.0715352369694915
0,3,male,59.0,0,0,7.25,S,0,Unknown,Mr,1,1,0,False,False,True,2.1102132003465894
0,3,male,25.0,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
0,1,male,71.0,0,0,34.6542,C,1,A,Mr,1,1,0,True,False,False,3.57386695198272
1,1,male,23.0,0,1,63.3583,C,1,D,Mr,2,0,0,True,False,False,4.164465907853638
1,2,female,34.0,0,1,23.0,S,0,Unknown,Mrs,2,0,1,False,False,True,3.1780538303479458
0,2,male,34.0,1,0,26.0,S,0,Unknown,Mr,2,0,0,False,False,True,3.295836866004329
0,3,female,28.0,0,0,7.8958,S,0,Unknown,Miss,1,1,1,False,False,True,2.1855792552411137
0,3,male,25.0,0,0,7.8958,S,0,Unknown,Mr,1,1,0,False,False,True,2.1855792552411137
0,1,male,21.0,0,1,65.6344,S,1,D,Mr,2,0,0,False,False,True,4.19922096071412
0,3,male,33.0,0,0,8.6542,S,0,Unknown,Mr,1,1,0,False,False,True,2.267393053825037
0,3,male,37.0,2,0,7.925,S,0,Unknown,Mr,3,0,0,False,False,True,2.188856327665703
0,3,male,28.0,0,0,7.8958,S,0,Unknown,Mr,1,1,0,False,False,True,2.1855792552411137
1,3,female,21.0,0,0,7.65,S,0,Unknown,Miss,1,1,1,False,False,True,2.157559320943788
1,3,male,25.0,0,0,7.775,S,0,Unknown,Mr,1,1,0,False,False,True,2.1719067693519296
0,3,male,38.0,0,0,7.8958,S,0,Unknown,Mr,1,1,0,False,False,True,2.1855792552411137
1,3,female,21.5,1,0,24.15,Q,0,Unknown,Miss,2,0,1,False,True,False,3.224857896545748
0,1,male,47.0,0,0,52.0,S,1,C,Mr,1,1,0,False,False,True,3.970291913552122
0,3,female,14.5,1,0,14.4542,C,0,Unknown,Miss,2,0,1,True,False,False,2.737880811060884
0,3,male,22.0,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
0,3,female,20.0,1,0,9.825,S,0,Unknown,Miss,2,0,1,False,False,True,2.3818582738885534
0,3,female,17.0,0,0,14.4583,C,0,Unknown,Miss,1,1,1,True,False,False,2.738146075922933
0,3,male,21.0,0,0,7.925,S,0,Unknown,Mr,1,1,0,False,False,True,2.188856327665703
0,3,male,70.5,0,0,7.75,Q,0,Unknown,Mr,1,1,0,False,True,False,2.169053700369523
0,2,male,29.0,1,0,21.0,S,0,Unknown,Mr,2,0,0,False,False,True,3.091042453358316
0,1,male,24.0,0,1,65.6344,C,1,B,Mr,2,0,0,True,False,False,4.19922096071412
0,3,female,2.0,4,2,31.275,S,0,Unknown,Miss,7,0,1,False,False,True,3.4742929367327062
0,2,male,21.0,2,0,65.6344,S,0,Unknown,Mr,3,0,0,False,False,True,4.19922096071412
0,3,male,25.0,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
0,2,male,32.5,1,0,30.0708,C,0,Unknown,Mr,2,0,0,True,False,False,3.436268471383741
1,2,female,32.5,0,0,13.0,S,1,E,Miss,1,1,1,False,False,True,2.6390573296152584
0,1,male,54.0,0,1,65.6344,S,1,D,Mr,2,0,0,False,False,True,4.19922096071412
1,3,male,12.0,1,0,11.2417,C,0,Unknown,Master,2,0,0,True,False,False,2.5048481563289
0,3,male,25.0,0,0,7.75,Q,0,Unknown,Mr,1,1,0,False,True,False,2.169053700369523
1,3,male,24.0,0,0,7.1417,S,0,Unknown,Mr,1,1,0,False,False,True,2.0969990034181696
1,3,female,21.5,1,1,22.3583,C,1,F,Miss,3,0,1,True,False,False,3.1509523813392697
0,3,male,45.0,0,0,6.975,S,0,Unknown,Mr,1,1,0,False,False,True,2.076311648670908
0,3,male,33.0,0,0,7.8958,C,0,Unknown,Mr,1,1,0,True,False,False,2.1855792552411137
0,3,male,20.0,0,0,7.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.0856720914304723
0,3,female,47.0,1,0,14.5,S,0,Unknown,Mrs,2,0,1,False,False,True,2.740840023925201
1,2,female,29.0,1,0,26.0,S,0,Unknown,Mrs,2,0,1,False,False,True,3.295836866004329
0,2,male,25.0,0,0,13.0,S,0,Unknown,Mr,1,1,0,False,False,True,2.6390573296152584
0,2,male,23.0,0,0,15.0458,C,0,Unknown,Mr,1,1,0,True,False,False,2.775447133088262
1,1,female,19.0,0,2,26.2833,S,1,D,Miss,3,0,1,False,False,True,3.3062747934011893
0,1,male,37.0,1,0,53.1,S,1,C,Mr,2,0,0,False,False,True,3.9908341858524357
0,3,male,16.0,0,0,9.2167,S,0,Unknown,Mr,1,1,0,False,False,True,2.3240236363515288
0,1,male,24.0,0,0,65.6344,C,1,B,Mr,1,1,0,True,False,False,4.19922096071412
0,3,female,21.5,0,2,15.2458,C,0,Unknown,Mrs,3,0,1,True,False,False,2.7878344138303452
1,3,female,22.0,0,0,7.75,S,0,Unknown,Miss,1,1,1,False,False,True,2.169053700369523
1,3,female,24.0,1,0,15.85,S,0,Unknown,Mrs,2,0,1,False,False,True,2.8243506567983707
0,3,male,19.0,0,0,6.75,Q,0,Unknown,Mr,1,1,0,False,True,False,2.0476928433652555
0,2,male,18.0,0,0,11.5,S,0,Unknown,Mr,1,1,0,False,False,True,2.5257286443082556
0,2,male,19.0,1,1,36.75,S,0,Unknown,Mr,3,0,0,False,False,True,3.6309854756950335
1,3,male,27.0,0,0,7.7958,S,0,Unknown,Mr,1,1,0,False,False,True,2.174274334826008
0,3,female,9.0,2,2,34.375,S,0,Unknown,Miss,5,0,1,False,False,True,3.5660053559634015
0,2,male,36.5,0,2,26.0,S,1,F,Mr,3,0,0,False,False,True,3.295836866004329
0,2,male,42.0,0,0,13.0,S,0,Unknown,Other,1,1,0,False,False,True,2.6390573296152584
0,2,male,51.0,0,0,12.525,S,0,Unknown,Other,1,1,0,False,False,True,2.6045398247325453
1,1,female,22.0,1,0,65.6344,S,1,C,Mrs,2,0,1,False,False,True,4.19922096071412
0,3,male,55.5,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
0,3,male,40.5,0,2,14.5,S,0,Unknown,Mr,3,0,0,False,False,True,2.740840023925201
0,3,male,25.0,0,0,7.3125,S,0,Unknown,Mr,1,1,0,False,False,True,2.1177604059819726
0,1,male,51.0,0,1,61.3792,C,0,Unknown,Mr,2,0,0,True,False,False,4.133231886474144
1,3,female,16.0,0,0,7.7333,Q,0,Unknown,Miss,1,1,1,False,True,False,2.167143305297764
0,3,male,30.0,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
0,3,male,25.0,0,0,8.6625,S,0,Unknown,Mr,1,1,0,False,False,True,2.2682524139135403
0,3,male,25.0,8,2,65.6344,S,0,Unknown,Master,11,0,0,False,False,True,4.19922096071412
0,3,male,44.0,0,1,16.1,S,0,Unknown,Mr,2,0,0,False,False,True,2.8390784635086144
1,2,female,40.0,0,0,15.75,S,0,Unknown,Mrs,1,1,1,False,False,True,2.8183982582710754
0,3,male,26.0,0,0,7.775,S,0,Unknown,Mr,1,1,0,False,False,True,2.1719067693519296
0,3,male,17.0,0,0,8.6625,S,0,Unknown,Mr,1,1,0,False,False,True,2.2682524139135403
0,3,male,1.0,4,1,39.6875,S,0,Unknown,Master,6,0,0,False,False,True,3.705920919968788
1,3,male,9.0,0,2,20.525,S,0,Unknown,Master,3,0,0,False,False,True,3.0692150503137943
1,1,female,35.0,0,1,55.0,S,1,E,Mrs,2,0,1,False,False,True,4.02535169073515
0,3,female,45.0,1,4,27.9,S,0,Unknown,Mrs,6,0,1,False,False,True,3.3638415951183864
0,1,male,40.0,0,0,25.925,S,0,Unknown,Mr,1,1,0,False,False,True,3.2930552230424524
0,3,male,28.0,0,0,56.4958,S,0,Unknown,Mr,1,1,0,False,False,True,4.05171190165724
0,1,male,61.0,0,0,33.5,S,1,B,Mr,1,1,0,False,False,True,3.5409593240373143
0,3,male,4.0,4,1,29.125,Q,0,Unknown,Master,6,0,0,False,True,False,3.405355391810819
1,3,female,1.0,1,1,11.1333,S,0,Unknown,Miss,3,0,1,False,False,True,2.495953738718064
0,3,male,21.0,0,0,7.925,S,0,Unknown,Mr,1,1,0,False,False,True,2.188856327665703
0,1,male,56.0,0,0,30.6958,C,1,A,Mr,1,1,0,True,False,False,3.4561841799918147
0,3,male,18.0,1,1,7.8542,S,0,Unknown,Mr,3,0,0,False,False,True,2.180891922715322
0,3,male,25.0,3,1,25.4667,S,0,Unknown,Master,5,0,0,False,False,True,3.275887339030031
0,1,female,50.0,0,0,28.7125,C,1,C,Miss,1,1,1,True,False,False,3.391567832686312
0,2,male,30.0,0,0,13.0,S,0,Unknown,Mr,1,1,0,False,False,True,2.6390573296152584
0,3,male,36.0,0,0,0.0,S,0,Unknown,Mr,1,1,0,False,False,True,0.0
0,3,female,21.5,8,2,65.6344,S,0,Unknown,Miss,11,0,1,False,False,True,4.19922096071412
0,2,male,30.0,0,0,15.05,C,0,Unknown,Mr,1,1,0,True,False,False,2.775708849576025
0,3,male,9.0,4,2,31.3875,S,0,Unknown,Master,7,0,0,False,False,True,3.4777725458882283
1,2,male,1.0,2,1,39.0,S,1,F,Master,4,0,0,False,False,True,3.6888794541139363
1,3,female,4.0,0,2,22.025,S,0,Unknown,Miss,3,0,1,False,False,True,3.1365805821413706
0,1,male,40.0,0,0,50.0,S,1,A,Mr,1,1,0,False,False,True,3.9318256327243257
1,3,female,21.5,1,0,15.5,Q,0,Unknown,Mrs,2,0,1,False,True,False,2.803360380906535
1,1,male,45.0,0,0,26.55,S,0,Unknown,Mr,1,1,0,False,False,True,3.3160025355989236
0,3,male,40.0,1,1,15.5,Q,0,Unknown,Mr,3,0,0,False,True,False,2.803360380906535
0,3,male,36.0,0,0,7.8958,S,0,Unknown,Mr,1,1,0,False,False,True,2.1855792552411137
1,2,female,32.0,0,0,13.0,S,0,Unknown,Mrs,1,1,1,False,False,True,2.6390573296152584
0,2,male,19.0,0,0,13.0,S,0,Unknown,Mr,1,1,0,False,False,True,2.6390573296152584
1,3,female,19.0,1,0,7.8542,S,0,Unknown,Miss,2,0,1,False,False,True,2.180891922715322
1,2,male,3.0,1,1,26.0,S,1,F,Master,3,0,0,False,False,True,3.295836866004329
1,1,female,44.0,0,0,27.7208,C,1,B,Mrs,1,1,1,True,False,False,3.357621598945279
1,1,female,58.0,0,0,65.6344,C,1,B,Miss,1,1,1,True,False,False,4.19922096071412
0,3,male,25.0,0,0,7.75,Q,0,Unknown,Mr,1,1,0,False,True,False,2.169053700369523
0,3,male,42.0,0,1,8.4042,S,0,Unknown,Mr,2,0,0,False,False,True,2.2411563979973974
1,3,female,21.5,0,0,7.75,Q,0,Unknown,Miss,1,1,1,False,True,False,2.169053700369523
0,2,female,24.0,0,0,13.0,S,0,Unknown,Miss,1,1,1,False,False,True,2.6390573296152584
0,3,male,28.0,0,0,9.5,S,0,Unknown,Mr,1,1,0,False,False,True,2.3513752571634776
0,3,male,25.0,8,2,65.6344,S,0,Unknown,Mr,11,0,0,False,False,True,4.19922096071412
0,3,male,34.0,0,0,6.4958,S,0,Unknown,Mr,1,1,0,False,False,True,2.0143428636837015
0,3,male,45.5,0,0,7.225,C,0,Unknown,Mr,1,1,0,True,False,False,2.1071782966514356
1,3,male,18.0,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
0,3,female,2.0,0,1,10.4625,S,1,G,Miss,2,0,1,False,False,True,2.4390808375825834
0,3,male,32.0,1,0,15.85,S,0,Unknown,Mr,2,0,0,False,False,True,2.8243506567983707
1,3,male,26.0,0,0,18.7875,C,0,Unknown,Mr,1,1,0,True,False,False,2.9850504252071306
1,3,female,16.0,0,0,7.75,Q,0,Unknown,Miss,1,1,1,False,True,False,2.169053700369523
1,1,male,40.0,0,0,31.0,C,1,A,Mr,1,1,0,True,False,False,3.4657359027997265
0,3,male,24.0,0,0,7.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.0856720914304723
1,2,female,35.0,0,0,21.0,S,0,Unknown,Miss,1,1,1,False,False,True,3.091042453358316
0,3,male,22.0,0,0,7.25,S,0,Unknown,Mr,1,1,0,False,False,True,2.1102132003465894
0,2,male,30.0,0,0,13.0,S,0,Unknown,Mr,1,1,0,False,False,True,2.6390573296152584
0,3,male,25.0,1,0,7.75,Q,0,Unknown,Mr,2,0,0,False,True,False,2.169053700369523
1,1,female,31.0,1,0,65.6344,C,1,D,Miss,2,0,1,True,False,False,4.19922096071412
1,3,female,27.0,0,0,7.925,S,0,Unknown,Miss,1,1,1,False,False,True,2.188856327665703
0,2,male,42.0,1,0,27.0,S,0,Unknown,Mr,2,0,0,False,False,True,3.332204510175204
1,1,female,32.0,0,0,65.6344,C,1,D,Miss,1,1,1,True,False,False,4.19922096071412
0,2,male,30.0,0,0,10.5,S,0,Unknown,Mr,1,1,0,False,False,True,2.4423470353692043
1,3,male,16.0,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
0,2,male,27.0,0,0,13.0,S,0,Unknown,Mr,1,1,0,False,False,True,2.6390573296152584
0,3,male,51.0,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
0,3,male,25.0,0,0,7.8958,S,0,Unknown,Mr,1,1,0,False,False,True,2.1855792552411137
1,1,male,38.0,1,0,65.6344,S,1,C,Mr,2,0,0,False,False,True,4.19922096071412
0,3,male,22.0,0,0,9.35,S,0,Unknown,Mr,1,1,0,False,False,True,2.336986519711378
1,2,male,19.0,0,0,10.5,S,0,Unknown,Mr,1,1,0,False,False,True,2.4423470353692043
0,3,male,20.5,0,0,7.25,S,0,Unknown,Mr,1,1,0,False,False,True,2.1102132003465894
0,2,male,18.0,0,0,13.0,S,0,Unknown,Mr,1,1,0,False,False,True,2.6390573296152584
0,3,female,21.5,3,1,25.4667,S,0,Unknown,Miss,5,0,1,False,False,True,3.275887339030031
1,1,female,35.0,1,0,65.6344,S,1,C,Mrs,2,0,1,False,False,True,4.19922096071412
0,3,male,29.0,0,0,7.775,S,0,Unknown,Mr,1,1,0,False,False,True,2.1719067693519296
0,2,male,59.0,0,0,13.5,S,0,Unknown,Mr,1,1,0,False,False,True,2.6741486494265287
1,3,female,5.0,4,2,31.3875,S,0,Unknown,Miss,7,0,1,False,False,True,3.4777725458882283
0,2,male,24.0,0,0,10.5,S,0,Unknown,Mr,1,1,0,False,False,True,2.4423470353692043
0,3,female,21.5,0,0,7.55,S,0,Unknown,Miss,1,1,1,False,False,True,2.145931282948669
0,2,male,44.0,1,0,26.0,S,0,Unknown,Mr,2,0,0,False,False,True,3.295836866004329
1,2,female,8.0,0,2,26.25,S,0,Unknown,Miss,3,0,1,False,False,True,3.305053521109253
0,2,male,19.0,0,0,10.5,S,0,Unknown,Mr,1,1,0,False,False,True,2.4423470353692043
0,2,male,33.0,0,0,12.275,S,0,Unknown,Mr,1,1,0,False,False,True,2.5858825671280026
0,3,female,21.5,1,0,14.4542,C,0,Unknown,Miss,2,0,1,True,False,False,2.737880811060884
1,3,female,21.5,1,0,15.5,Q,0,Unknown,Miss,2,0,1,False,True,False,2.803360380906535
0,2,male,29.0,0,0,10.5,S,0,Unknown,Mr,1,1,0,False,False,True,2.4423470353692043
0,3,male,22.0,0,0,7.125,S,0,Unknown,Mr,1,1,0,False,False,True,2.094945728215801
0,3,male,30.0,0,0,7.225,C,0,Unknown,Mr,1,1,0,True,False,False,2.1071782966514356
0,1,male,44.0,2,0,65.6344,Q,1,C,Other,3,0,0,False,True,False,4.19922096071412
0,3,female,25.0,0,0,7.775,S,0,Unknown,Miss,1,1,1,False,False,True,2.1719067693519296
1,2,female,24.0,0,2,14.5,S,0,Unknown,Mrs,3,0,1,False,False,True,2.740840023925201
1,1,male,37.0,1,1,52.5542,S,1,D,Mr,3,0,0,False,False,True,3.9806942251907276
0,2,male,54.0,1,0,26.0,S,0,Unknown,Other,2,0,0,False,False,True,3.295836866004329
0,3,male,25.0,0,0,7.25,S,0,Unknown,Mr,1,1,0,False,False,True,2.1102132003465894
0,3,female,29.0,1,1,10.4625,S,1,G,Mrs,3,0,1,False,False,True,2.4390808375825834
0,1,male,62.0,0,0,26.55,S,1,C,Mr,1,1,0,False,False,True,3.3160025355989236
0,3,male,30.0,1,0,16.1,S,0,Unknown,Mr,2,0,0,False,False,True,2.8390784635086144
0,3,female,41.0,0,2,20.2125,S,0,Unknown,Mrs,3,0,1,False,False,True,3.0545906305603445
1,3,female,29.0,0,2,15.2458,C,0,Unknown,Mrs,3,0,1,True,False,False,2.7878344138303452
1,1,female,35.0,0,0,65.6344,C,0,Unknown,Mrs,1,1,1,True,False,False,4.19922096071412
1,1,female,30.0,0,0,65.6344,S,1,B,Miss,1,1,1,False,False,True,4.19922096071412
1,1,female,35.0,0,0,65.6344,C,0,Unknown,Miss,1,1,1,True,False,False,4.19922096071412
1,2,female,50.0,0,1,26.0,S,0,Unknown,Mrs,2,0,1,False,False,True,3.295836866004329
0,3,male,25.0,0,0,7.75,Q,0,Unknown,Mr,1,1,0,False,True,False,2.169053700369523
1,3,male,3.0,4,2,31.3875,S,0,Unknown,Master,7,0,0,False,False,True,3.4777725458882283
0,1,male,52.0,1,1,65.6344,S,1,E,Mr,3,0,0,False,False,True,4.19922096071412
0,1,male,40.0,0,0,0.0,S,1,B,Mr,1,1,0,False,False,True,0.0
0,3,female,21.5,0,0,7.75,Q,0,Unknown,Miss,1,1,1,False,True,False,2.169053700369523
0,2,male,36.0,0,0,10.5,S,0,Unknown,Mr,1,1,0,False,False,True,2.4423470353692043
0,3,male,16.0,4,1,39.6875,S,0,Unknown,Mr,6,0,0,False,False,True,3.705920919968788
1,3,male,25.0,1,0,7.775,S,0,Unknown,Mr,2,0,0,False,False,True,2.1719067693519296
1,1,female,58.0,0,1,65.6344,S,1,C,Mrs,2,0,1,False,False,True,4.19922096071412
